区分,都道府県,名称,訪問レベル
市区町村,北海道,月形町,0
市区町村,北海道,浦臼町,0
市区町村,北海道,新十津川町,0
市区町村,北海道,妹背牛町,0
市区町村,北海道,秩父別町,3
市区町村,北海道,雨竜町,0
市区町村,北海道,北竜町,1
市区町村,北海道,沼田町,0
市区町村,北海道,鷹栖町,0
市区町村,北海道,東神楽町,3
市区町村,北海道,当麻町,3
市区町村,北海道,比布町,1
市区町村,北海道,愛別町,1
市区町村,北海道,上川町,4
市区町村,北海道,東川町,0
市区町村,北海道,美瑛町,3
市区町村,北海道,上富良野町,3
市区町村,北海道,中富良野町,3
市区町村,北海道,南富良野町,1
市区町村,北海道,占冠村,0
市区町村,北海道,和寒町,1
市区町村,北海道,剣淵町,3
市区町村,北海道,下川町,0
市区町村,北海道,美深町,3
市区町村,北海道,音威子府村,3
市区町村,北海道,中川町,0
市区町村,北海道,幌加内町,0
市区町村,北海道,増毛町,0
市区町村,北海道,小平町,3
市区町村,北海道,苫前町,1
市区町村,北海道,羽幌町,3
市区町村,北海道,初山別村,3
市区町村,北海道,遠別町,3
市区町村,北海道,天塩町,3
市区町村,北海道,猿払村,3
市区町村,北海道,浜頓別町,3
市区町村,北海道,中頓別町,1
市区町村,北海道,枝幸町,0
市区町村,北海道,豊富町,1
市区町村,北海道,礼文町,0
市区町村,北海道,利尻町,0
市区町村,北海道,利尻富士町,0
市区町村,北海道,幌延町,3
市区町村,北海道,美幌町,0
市区町村,北海道,津別町,0
市区町村,北海道,斜里町,4
市区町村,北海道,清里町,0
市区町村,北海道,小清水町,1
市区町村,北海道,訓子府町,0
市区町村,北海道,置戸町,0
市区町村,北海道,佐呂間町,1
市区町村,北海道,遠軽町,0
市区町村,北海道,湧別町,1
市区町村,北海道,滝上町,0
市区町村,北海道,興部町,0
市区町村,北海道,西興部村,0
市区町村,北海道,雄武町,0
市区町村,北海道,大空町,3
市区町村,北海道,豊浦町,0
市区町村,北海道,壮瞥町,3
市区町村,北海道,白老町,3
市区町村,北海道,厚真町,1
市区町村,北海道,洞爺湖町,3
市区町村,北海道,安平町,3
市区町村,北海道,むかわ町,3
市区町村,北海道,日高町,1
市区町村,北海道,平取町,0
市区町村,北海道,新冠町,3
市区町村,北海道,浦河町,3
市区町村,北海道,様似町,4
市区町村,北海道,えりも町,3
市区町村,北海道,新ひだか町,3
市区町村,北海道,音更町,1
市区町村,北海道,士幌町,1
市区町村,北海道,上士幌町,3
市区町村,北海道,鹿追町,3
市区町村,北海道,新得町,3
市区町村,北海道,清水町,1
市区町村,北海道,芽室町,0
市区町村,北海道,中札内村,3
市区町村,北海道,更別村,1
市区町村,北海道,大樹町,3
市区町村,北海道,広尾町,3
市区町村,北海道,幕別町,3
市区町村,北海道,池田町,0
市区町村,北海道,豊頃町,0
市区町村,北海道,本別町,0
市区町村,北海道,足寄町,3
市区町村,北海道,陸別町,0
市区町村,北海道,浦幌町,0
市区町村,北海道,釧路町,1
市区町村,北海道,厚岸町,3
市区町村,北海道,浜中町,1
市区町村,北海道,標茶町,0
市区町村,北海道,弟子屈町,0
市区町村,北海道,鶴居村,3
市区町村,北海道,白糠町,0
市区町村,北海道,別海町,3
市区町村,北海道,中標津町,0
市区町村,北海道,標津町,1
市区町村,北海道,羅臼町,1
市区町村,北海道,色丹村,0
市区町村,北海道,泊村,0
市区町村,北海道,留夜別村,0
市区町村,北海道,留別村,0
市区町村,北海道,紗那村,0
市区町村,北海道,蘂取村,0
市区町村,青森県,青森市
市区町村,青森県,弘前市
市区町村,青森県,八戸市
市区町村,青森県,黒石市
市区町村,青森県,五所川原市
市区町村,青森県,十和田市
市区町村,青森県,三沢市
市区町村,青森県,むつ市
市区町村,青森県,つがる市
市区町村,青森県,平川市
市区町村,青森県,平内町
市区町村,青森県,今別町
市区町村,青森県,蓬田村
市区町村,青森県,外ヶ浜町
市区町村,青森県,鰺ヶ沢町
市区町村,青森県,深浦町
市区町村,青森県,西目屋村
市区町村,青森県,藤崎町
市区町村,青森県,大鰐町
市区町村,青森県,田舎館村
市区町村,青森県,板柳町
市区町村,青森県,鶴田町
市区町村,青森県,中泊町
市区町村,青森県,野辺地町
市区町村,青森県,七戸町
市区町村,青森県,六戸町
市区町村,青森県,横浜町
市区町村,青森県,東北町
市区町村,青森県,六ヶ所村
市区町村,青森県,おいらせ町
市区町村,青森県,大間町
市区町村,青森県,東通村
市区町村,青森県,風間浦村
市区町村,青森県,佐井村
市区町村,青森県,三戸町
市区町村,青森県,五戸町
市区町村,青森県,田子町
市区町村,青森県,南部町
市区町村,青森県,階上町
市区町村,青森県,新郷村
